Trial,Wing,Body,Weight,Time,Square
1,5.5,0.75,1,2.28,1
2,5.5,0.75,1,2.5,0
3,5.5,0.75,1,2.23,1
4,5.5,0.75,1,2.4,1
5,5.5,0.75,1,2.45,1
1,5,0.75,1,2.91,1
2,5,0.75,1,2.8,1
3,5,0.75,1,2.55,1
4,5,0.75,1,2.75,1
5,5,0.75,1,3.13,0
1,6,1,1,2.83,1
2,6,1,1,3.13,1
3,6,1,1,3.28,1
4,6,1,1,2.75,1
5,6,1,1,2.93,1
